3654	Mutanus the Devourer	1	-	0	NULL	NULL	NULL
12876	Baron Aquanis	1	-	0	NULL	NULL	NULL
7361	Grubbis	1	-	0	NULL	NULL	NULL
7356	Plaguemaw the Rotting	1	-	0	NULL	NULL	NULL
7796	Nekrum Gutchewer	1	-	0	NULL	NULL	NULL
8443	Avatar of Hakkar	1	-	0	NULL	NULL	NULL
9476	Watchman Doomgrip	1	-	0	NULL	NULL	NULL
10268	Gizrul the Slavener	1	-	0	NULL	NULL	NULL
10506	Kirtonos the Herald	1	-	0	NULL	NULL	NULL
11143	Postmaster Malown	1	-	0	NULL	NULL	NULL
11120	Crimson Hammersmith	1	-	0	NULL	NULL	NULL
10439	Ramstein the Gorger	1	-	0	NULL	NULL	NULL
20912	Harbinger Skyriss	1	-	0	NULL	NULL	NULL
26668	Svala Sorrowgrave	1	-	0	NULL	NULL	NULL
