389	11517	Oggleflint	1	-147.5	38.7	-38.8
389	11520	Taragaman the Hungerer	1	-244.7	150.1	-18.7
389	11518	Jergosh the Invoker	1	-376.8	209.2	-21.8
389	11519	Bazzalan	1	-384.9	146	7.8
43	3671	Lady Anacondra	1	-67.8	122.6	-92.8
43	3653	Kresh	1	-64.4	319.1	-106.7
43	5775	Verdan the Everliving	1	-81.9	32.3	-31
43	3673	Lord Serpentis	1	-120.2	-24.6	-28.6
43	3670	Lord Pythas	1	36.8	-241.1	-79.5
43	3674	Skum	1	-285.6	-313	-69.2
43	3669	Lord Cobrahn	1	-151.1	414.4	-72.6
43	3678	Disciple of Naralex	1	-135	125.4	-78.1
36	644	Rhahk'Zor	1	-192.9	-448.2	54.4
36	642	Sneed's Shredder	1	-289.5	-513	49.7
36	1763	Gilnid	1	-177.4	-574.5	19.3
36	646	Mr. Smite	1	-22.8	-797.3	20.4
36	647	Captain Greenskin	1	-59.6	-820.1	41.6
36	639	Edwin VanCleef	1	-87.4	-819.9	39.3
36	645	Cookie	1	-67.6	-853.7	17.1
33	3914	Rethilgore	1	-252.1	2123.1	81.2
33	3886	Razorclaw the Butcher	1	-202.6	2258	76.3
33	3887	Baron Silverlaine	1	-275.3	2297.4	76.2
33	4278	Commander Springvale	1	-222.6	2259.4	102.8
33	4279	Odo the Blindwatcher	1	-236.7	2146.1	100.1
33	4274	Fenrus the Devourer	1	-135.6	2168.7	128.8
33	3927	Wolf Master Nandos	1	-120.7	2162	155.8
33	4275	Archmage Arugal	1	-76.8	2152.4	155.8
48	4887	Ghamoo-ra	1	-442.4	211.8	-52.6
48	4831	Lady Sarevess	1	-299.9	413.8	-57.1
48	6243	Gelihast	1	-412.7	40.9	-48.1
48	12902	Lorgus Jett	1	-622.4	-86.9	-39.9
48	4830	Old Serra'kis	1	-746.7	-169.4	-50.6
48	4832	Twilight Lord Kelris	1	-818.8	-155.6	-25.8
48	4829	Aku'mai	1	-848.4	-453.9	-33.9
34	1696	Targorr the Dread	1	159.6	1.3	-25.6
34	1666	Kam Deepfury	1	142.6	-71.9	-34.9
34	1717	Hamhock	1	105.5	-105.8	-35.1
34	1716	Bazil Thredd	1	89.6	-136.9	-33.9
34	1663	Dextren Ward	1	166.8	134.8	-33.9
34	1720	Bruegal Ironknuckle	1	160.1	45.7	-34.8
90	7079	Viscous Fallout	1	-471.4	48.5	-208
90	7998	Blastmaster Emi Shortfuse	1	-514.9	-138.5	-152.4
90	6235	Electrocutioner 6000	1	-552	502.9	-216.7
90	6229	Crowd Pummeler 9-60	1	-889.1	360.7	-272.5
90	6228	Dark Iron Ambassador	1	-718.1	565.2	-289.1
90	7800	Mekgineer Thermaplugg	1	-531.3	670.2	-325.2
47	6168	Roogug	1	2143	1581.6	80.4
47	4424	Aggem Thorncurse	1	2082.3	1463.5	73.2
47	4420	Overlord Ramtusk	1	2203.1	1640.1	85.9
47	4428	Death Speaker Jargba	1	2146.4	1411.2	74
47	4842	Earthcaller Halmgar	1	2118.6	1695.3	80.3
47	4422	Agathelos the Raging	1	1994.4	1976.4	63.3
47	4425	Blind Hunter	1	2200.8	1978.2	56.7
47	4421	Charlga Razorflank	1	2190.4	1864.3	79.1
189	3983	Interrogator Vishas	1	1786.6	1124.4	7.6
189	6489	Ironspine	1	1749.6	1247.4	18.2
189	6490	Azshir the Sleepless	1	1851	1392.8	20.5
189	6488	Fallen Champion	1	1756.2	1345.4	19.4
189	4543	Bloodmage Thalnos	1	1820.3	1416.7	-7.9
189	3974	Houndmaster Loksey	1	119.9	-260.9	18.6
189	6487	Arcanist Doan	1	148.3	-428.7	18.5
189	3975	Herod	1	1965.1	-431.6	6.3
189	4542	High Inquisitor Fairbanks	1	1158.9	1354.3	30.4
189	3976	Scarlet Commander Mograine	1	1153.9	1398.4	32.6
189	3977	High Inquisitor Whitemane	1	1202.1	1399.1	29.1
129	7357	Mordresh Fire Eye	1	2466.6	671.4	63.5
129	8567	Glutton	1	2468.7	1006.8	23.8
129	7354	Ragglesnout	1	2364.8	904.5	28.8
129	7358	Amnennar the Coldbringer	1	2403.4	960.9	55.1
70	6906	Baelog	1	-353	117.2	-44.4
70	6910	Revelosh	1	-225.6	161.2	-44.5
70	7228	Ironaya	1	-235.7	309.6	-47.6
70	7206	Ancient Stone Keeper	1	-38.4	221.3	-48.4
70	7291	Galgann Firehammer	1	-10.4	414.7	-46.9
70	4854	Grimlok	1	56.7	455.3	-41
70	2748	Archaedas	1	104.3	272.3	-51.7
209	7272	Theka the Martyr	1	1778	859.7	8.9
209	8127	Antu'sul	1	1815.8	670.4	15
209	7271	Witch Doctor Zum'rah	1	1912.2	1016.1	11.6
209	7274	Sandfury Executioner	1	1886.8	1289.9	46
209	7604	Sergeant Bly	1	1882.9	1299.3	48.4
